A3 (C)=916.04
A1 (C)=751.94
Quenching temperature (C)=1040.0
Grain size : 6.0 ASTM
'Ferrite(1%) (s)'	'T (C)'
21760.3	822.4
12286.1	794.28
8922.66	772.32
7222.79	751.09
6257.5	727.13
5606.24	703.63
5230.3	673.88
5086.55	633.08
'Pearlite(1%) (s)'	'T (C)'
38773.2	652.27
21511.4	609.77
'Bainite(1%) (s)'	'T (C)'
47995.4	560.05
23296.1	574.08
15380.4	578.59
11518.8	579.25
9219.77	579.01
7691.22	578.53
6601.8	577.87
5790.31	576.78
5159.18	575.67
4650.95	574.91
2352.3	569.54
1583.26	565.02
1194.14	562.34
962.1	558.95
806.87	555.88
695.02	553.49
610.28	551.78
545.44	549.11
493.3	546.7
255.1	529.81
175.36	513.92
134.79	500.85
110.89	485.55
94.89	470.64
83.85	453.05
76.22	430.24
71.58	395.8
'Austenite(1%) (s)'	'T (C)'
48948.3	550.52
23992.7	560.15
16134.9	555.95
12227.5	550.9
9933.47	543.33
8380.6	537.16
7271.64	530.99
6434.89	525.21
5784.28	519.42
5265.21	513.48
2921.63	455.67
'Martensite start (s)'	'T (C)'
3237.55	392.49
2158.16	392.55
1618.57	392.57
1294.83	392.58
1079.02	392.59
924.87	392.59
809.26	392.6
719.34	392.6
647.4	392.6
323.7	392.6
215.8	392.61
161.85	392.61
129.48	392.61
107.9	392.61
92.48	392.61
80.92	392.61
71.93	392.61
64.74	392.61
32.37	392.61
21.58	392.61
16.18	392.61
12.95	392.61
10.79	392.61
9.25	392.61
8.09	392.61
7.19	392.61
6.47	392.61
'Martensite 50% (s)'	'T (C)'
3405.47	358.91
2270.1	358.97
1702.52	358.99
1362.0	359.0
1134.99	359.01
972.84	359.01
851.23	359.02
756.65	359.02
680.98	359.02
340.49	359.02
226.99	359.03
170.24	359.03
136.2	359.03
113.5	359.03
97.28	359.03
85.12	359.03
75.66	359.03
68.1	359.03
34.05	359.03
22.7	359.03
17.02	359.03
13.62	359.03
11.35	359.03
9.73	359.03
8.51	359.03
7.57	359.03
6.81	359.03
'Martensite 90% (s)'	'T (C)'
3795.35	280.93
2530.01	281.0
1897.45	281.02
1517.94	281.03
1264.94	281.04
1084.23	281.04
948.69	281.05
843.28	281.05
758.95	281.05
379.47	281.06
252.98	281.06
189.74	281.06
151.79	281.06
126.49	281.06
108.42	281.06
94.87	281.06
84.33	281.06
75.89	281.06
37.95	281.06
25.3	281.06
18.97	281.06
15.18	281.06
12.65	281.06
10.84	281.06
9.49	281.06
8.43	281.06
7.59	281.06

CoolingRate (K/s)	Ferrite fraction	Pearlite fraction	Bainite fraction	Martensite fraction	Austenite fraction	0.2% Proof Stress (MPa)	Tensile Stress (MPa)	Hardness (HRC)
0.01	0.408998	0.267414	0.323588	0	0	483.476	698.944	14.45771950536583
0.02	0.225803	0.0242747	0.749922	0	0	701.556	948.034	28.94819794991723
0.03	0.109953	0.00712409	0.882923	0	0	754.144	1004.73	31.517278387376265
0.04	0.0585661	0.00334091	0.938093	0	0	777.302	1029.35	32.57039351279637
0.05	0.0348196	0.00185843	0.963322	0	0	789.521	1042.26	33.1083612973179
0.06	0.0232442	0.00118189	0.975574	0	0	796.813	1049.94	33.42394422428747
0.07	0.0163457	0.000844663	0.98281	0	0	801.969	1055.36	33.64462944250593
0.08	0.0122984	0.000618358	0.987083	0	0	805.809	1059.39	33.80778816595142
0.09	0.00934222	0.000476644	0.990181	0	0	808.978	1062.71	33.94153597715736
0.1	0.006814	0.000396067	0.99279	0	0	811.769	1065.63	34.05874688844057
0.2	0.00134776	0	0.998014	0.000560378	0	826.741	1081.26	34.677917172886296
0.3	0.000658817	0	0.980274	0.019018	0	843.172	1098.33	35.33980001698937
0.4	0.000415231	0	0.955753	0.0437847	0	859.974	1115.7	35.99806534877712
0.5	0.000297251	0	0.929359	0.0702897	0	876.142	1132.32	36.61488431608865
0.6	0.000229309	0	0.902151	0.0975563	0	891.731	1148.27	37.19459105956352
0.7	0.0001857	0	0.874919	0.124821	0	906.664	1163.49	37.736906945932915
0.8	0.000155536	0	0.847583	0.152175	0	921.149	1178.18	38.25124583269168
0.9	0.000133621	0	0.8186	0.181167	0	935.985	1193.17	38.76644033476968
1	0.000116978	0	0.788894	0.210874	0.000106876	950.85	1208.13	39.27131692104773
2	0	0	0.445926	0.553739	0.000280606	1109.24	1364.12	44.049489890184944
