N6582					
T	t	T Charpy	J	Exp Lateral	Fibrosidade
620	4	-40	34.7	0.26	35.0%
620	4	-40	34	0.24	18.0%
620	4	-40	31.7	0.31	32.0%
620	4	-40	32.5	0.33	30.0%
620	8	-40	49.7	0.5	60.0%
620	8	-40	39.1	0.38	43.0%
620	8	-40	41.2	0.42	55.0%
620	8	-40	32.5	0.32	34.0%
620	16	-40	57.7	0.6	64.0%
620	16	-40	62.1	0.63	67.0%
620	16	-40	42.4	0.45	46.0%
620	16	-40	58.3	0.59	66.0%
620	32	-40	75.01	0.78	83.2%
620	32	-40	74.52	0.756	80.4%
620	32	-40	58.512	0.621	63.5%
620	32	-40	69.96	0.708	79.2%
620	140	-40	167.7	1.96	100.0%
620	140	-40	169.3	1.96	100.0%
620	140	-40	174	2.01	100.0%
620	140	-40	193.5	2.13	100.0%
